日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,商品原价,包装费,顾客配送费（跑腿/自配送）,补贴及支出,商家活动支出,公益捐款,其它支出,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,平台活动补贴,平台服务费(含佣金和配送服务费),顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,当日流量类型,7日流量类型,30日流量类型,下单人数,下单新客,下单老客,取消订单,商责取消订单,商责取消率,店铺分,高峰营业时长得分,优质商品率得分,有效活动丰富度得分,商家不接单率得分,差评回复率得分,在线联系回复率得分,商家评分得分,近30日日均高峰营业时长,优质商品率,有效活动丰富度,近30日商家不接单率,近30日差评回复率,近7日日均在线联系回复率,近30日日均商家评分,菜单丰富度得分,装修丰富度得分,服务功能丰富度得分,菜单丰富度,装修丰富度,服务功能丰富度,出餐完成上报率/配送准时率,基础营业时长得分,基础营业时长,出餐完成上报率得分/配送准时率得分,综合体验分,商品质量分,服务体验分,商品满意度,包装满意度,复购率指标得分,复购率,消息回复率指标得分,消息回复率,服务负反馈率指标得分,食品安全负反馈率指标得分,食品安全负反馈率
20260115,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,5540.06,9284.30,348.00,0.00,4092.24,2429.40,0.00,126.33,9632.30,6950.20,164,42.38,3702.20,1272.80,1536.51,6811.20,41.53,7423,684,0.0921,0.2354,5622,421,0.0749,0.1639,1801,263,0.146,0.3498,14803,929,高曝高转,高曝高转,高曝高转,161,69,92,5,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,97.00%,100,7.7,100.00,4.6,4.4,4.9,4.7,4.7,3.7,0.2066,5.0,0.9914,4.8,4.7,9.56
20260118,雪乡情东北菜馆（皇庭广场店）,24557822,广东省,深圳,福田区,6742.36,10846.00,377.00,0.00,4480.64,2516.22,0.00,118.29,11223.00,8446.00,162,52.14,3817.72,1301.50,1846.13,8384.40,51.76,6961,652,0.0937,0.2362,5387,434,0.0806,0.1682,1574,218,0.1385,0.3716,14729,1004,高曝高转,高曝高转,高曝高转,154,73,81,5,0,0.0,96,94,89,0,100,100,0,92,7.1,89%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.5,4.4,4.8,4.7,4.7,3.7,0.2055,5.0,0.9912,4.6,4.7,8.02
20260118,雪乡情东北菜馆(壹方天地店),15784451,广东省,深圳,龙华区,6617.56,11218.00,380.00,0.00,4980.44,2848.68,1.80,212.26,11598.00,8407.02,180,46.71,4423.78,1575.10,1917.70,8303.32,46.13,7064,788,0.1116,0.2195,5389,501,0.093,0.1238,1675,287,0.1713,0.3868,15127,1153,高曝高转,高曝高转,高曝高转,173,62,111,3,1,0.0054,94,94,88,0,99,96,0,86,7.1,88%,,0.10%,96.4%,0%,4.3,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,98.00%,100,7.7,100.00,4.3,4.2,4.5,4.1,4.3,3.7,0.2066,4.9,0.9809,4.1,4.7,9.89
20260118,雪乡情东北菜（蛇口店）,12367677,广东省,深圳,南山区,7901.94,12381.10,409.00,12.00,4900.16,2705.03,1.86,120.97,12802.10,9608.97,186,51.66,4214.33,1509.30,2072.30,9563.77,51.42,6544,710,0.1085,0.2465,4727,434,0.0918,0.1336,1817,276,0.1519,0.4239,14960,1069,高曝高转,高曝高转,高曝高转,175,58,117,3,0,0.0,96,90,95,0,100,100,0,92,6.8,95%,,--,100.0%,0%,4.6,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,98,8.3,100.00,4.5,4.4,4.9,4.5,4.7,3.9,0.2277,5.0,0.9948,4.9,4.6,11.11
20260117,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,9686.92,14984.40,519.00,0.00,5816.48,3044.09,2.09,149.85,15503.40,11987.71,209,57.36,4996.09,1952.00,2620.45,11768.31,56.31,7418,716,0.0965,0.2849,5572,421,0.0756,0.1401,1846,295,0.1598,0.4915,16218,1057,高曝高转,高曝高转,高曝高转,204,59,145,3,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.4,4.8,4.7,4.7,3.8,0.2209,4.7,0.9585,5.0,4.7,8.47
20260116,雪乡情大地锅(信和广场店),13991691,广东省,深圳,南山区,2875.81,5231.30,49.00,0.00,2404.49,1419.95,0.00,96.09,5280.30,3614.04,109,33.16,2240.25,820.30,888.45,3614.04,33.16,4604,408,0.0886,0.2623,3633,242,0.0666,0.1736,971,166,0.171,0.3916,9425,558,高曝高转,高曝高转,高曝高转,107,42,65,4,1,0.0088,96,90,88,0,98,100,0,94,6.8,88%,,0.12%,100.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,99.00%,100,7.4,100.00,4.7,4.6,4.8,4.8,4.8,4.5,0.2964,4.7,0.9655,5.0,4.4,16.9
20260115,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,5993.86,8778.40,322.00,0.00,3106.54,1375.20,1.35,99.34,9100.40,8002.90,135,59.28,1947.40,572.20,1630.65,7891.30,58.45,3756,445,0.1185,0.2944,2524,236,0.0935,0.1314,1232,209,0.1696,0.4785,7030,562,高曝高转,高曝高转,高曝高转,131,31,100,3,1,0.0072,91,92,96,0,99,81,0,94,6.9,96%,,0.09%,81.8%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,99.00%,98,8.4,100.00,4.7,4.6,4.7,4.8,4.8,4.2,0.2053,4.5,0.9333,5.0,4.9,4.06
20260113,雪乡情东北菜（登良店）,517971,广东省,深圳,南山区,7640.02,11471.10,420.00,0.00,4251.08,1743.89,1.62,414.54,11891.10,10496.21,162,64.79,2312.79,568.90,2091.03,10440.41,64.45,11780,903,0.0767,0.1772,9231,574,0.0622,0.0976,2549,329,0.1291,0.3161,6132,475,高曝低转,高曝高转,高曝高转,160,56,104,3,0,0.0,92,92,96,0,100,90,0,94,6.9,96%,,--,90.9%,0%,4.7,100,100,60,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,开发票/放心吃/准时宝,98.00%,98,8.4,100.00,4.7,4.7,4.8,4.7,4.8,4.3,0.2171,4.6,0.944,5.0,4.9,4.12
20260117,雪乡情东北菜馆（梅林店）,19484981,广东省,深圳,福田区,6649.52,10764.00,364.00,0.00,4478.48,2482.33,0.00,187.90,11128.00,8341.27,160,52.13,3831.43,1349.10,1808.25,8221.07,51.38,6931,620,0.0895,0.25,5624,411,0.0731,0.1946,1307,209,0.1599,0.3589,13634,869,高曝高转,高曝高转,高曝高转,155,80,75,2,0,0.0,94,92,95,0,100,75,0,94,6.9,95%,,--,75.0%,0%,4.7,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/热销/进店必买,预订单/开发票/放心吃/准时宝,95.00%,98,7.8,100.00,4.6,4.5,4.8,4.7,4.8,3.7,0.2089,5.0,1.0,4.7,4.9,4.85
20260112,雪乡情东北菜（马家龙店）,10254693,广东省,深圳,南山区,6023.89,9792.00,370.00,0.00,4138.11,2329.99,1.67,118.97,10162.00,7916.81,167,47.41,3517.59,1187.60,1687.48,7680.01,45.99,5601,523,0.0934,0.3098,3925,276,0.0703,0.1594,1676,247,0.1474,0.4777,11363,700,高曝高转,高曝高转,高曝高转,162,44,118,4,0,0.0,97,100,93,0,100,100,0,90,7.5,93%,,--,100.0%,0%,4.5,100,100,100,分类数/菜品数/招牌菜,招牌/海报/老板推荐/进店必买,预订单/开发票/放心吃/准时宝,100.00%,100,8.3,100.00,4.6,4.5,4.8,4.7,4.7,3.9,0.2222,4.7,0.9636,5.0,4.7,8.16
